Title,Category,Rating,Year,Length,Type,Age,Genre,URL
DP/30: Conversations About Movies,['self'],8.1/10,2007–,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt2386723/?ref_=nm_flmg_slf_77
Summer Exhibition,['self'],,2007,3h,TV Special,,['News'],https://www.imdb.com/title/tt1059234/?ref_=nm_flmg_slf_78
Making Puppets Tick,['self'],6.8/10,2006,4m,Video,,['Documentary'],https://www.imdb.com/title/tt1434433/?ref_=nm_flmg_slf_79
Tim Burton: Dark vs. Light,['self'],6.1/10,2006,4m,Video,,['Documentary'],https://www.imdb.com/title/tt1110065/?ref_=nm_flmg_slf_80
Voices from the Underworld,['self'],6.9/10,2006,4m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1147659/?ref_=nm_flmg_slf_81
Space Top 10 Countdown,['self'],4.5/10,2006–2007,30m,TV Series,,[],https://www.imdb.com/title/tt0925656/?ref_=nm_flmg_slf_82
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0103569/?ref_=nm_flmg_slf_83
The 78th Annual Academy Awards,['self'],6.8/10,2006,3h 34m,TV Special,,['Music'],https://www.imdb.com/title/tt0497318/?ref_=nm_flmg_slf_84
Sunday Morning Shootout,['self'],6.5/10,2003–2008,30m,TV Series,Not Rated,[],https://www.imdb.com/title/tt0390776/?ref_=nm_flmg_slf_85
Danny Elfman Interprets the Two Worlds,['self'],6.0/10,2006,5m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1072432/?ref_=nm_flmg_slf_86
Inside the Two Worlds of 'The Corpse Bride',['self'],7.0/10,2006,4m,Video,,['Documentary'],https://www.imdb.com/title/tt0989662/?ref_=nm_flmg_slf_87
The Animators: The Breath of Life,['self'],5.9/10,2006,6m,Video,,['Documentary'],https://www.imdb.com/title/tt1071200/?ref_=nm_flmg_slf_88
Batman Heroes: Batman,['self'],5.8/10,2005,5m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1297266/?ref_=nm_flmg_slf_89
Batman Heroes: Vicki Vale,['self'],6.4/10,2005,2m,Video,,['Documentary'],https://www.imdb.com/title/tt1636737/?ref_=nm_flmg_slf_90
Batman Returns Villains: Catwoman,['self'],6.7/10,2005,5m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1654001/?ref_=nm_flmg_slf_91
Batman Returns Villains: The Penguin,['self'],6.2/10,2005,4m,Video,,['Documentary'],https://www.imdb.com/title/tt1654003/?ref_=nm_flmg_slf_92
Beyond Batman: 'Those Wonderful Toys' - The Props & Gadgets of Batman,['self'],5.9/10,2005,6m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1297267/?ref_=nm_flmg_slf_93
Beyond Batman: Assembling the Arctic Army,['self'],6.8/10,2005,10m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1006831/?ref_=nm_flmg_slf_94
Beyond Batman: Building the Batmobile,['self'],6.6/10,2005,10m,Video,,['Documentary'],https://www.imdb.com/title/tt1006832/?ref_=nm_flmg_slf_95
Beyond Batman: Designing the Batsuit,['self'],6.5/10,2005,10m,Video,,['Documentary'],https://www.imdb.com/title/tt1006833/?ref_=nm_flmg_slf_96
Beyond Batman: From Jack to the Joker,['self'],7.6/10,2005,10m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1006834/?ref_=nm_flmg_slf_97
Beyond Batman: Gotham City Revisited - The Production Design of Batman Returns,['self'],7.0/10,2005,11m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1006836/?ref_=nm_flmg_slf_98
Beyond Batman: Making Up the Penguin,['self'],6.7/10,2005,8m,Video,,['Documentary'],https://www.imdb.com/title/tt1018687/?ref_=nm_flmg_slf_99
Beyond Batman: Nocturnal Overtures - The Music of Batman,['self'],6.5/10,2005,7m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1006838/?ref_=nm_flmg_slf_100
"Beyond Batman: Sleek, Sexy and Sinister - The Costumes of Batman Returns",['self'],7.0/10,2005,13m,Video,,['Documentary'],https://www.imdb.com/title/tt1006839/?ref_=nm_flmg_slf_101
Beyond Batman: Visualizing Gotham - The Production Design of Batman,['self'],6.8/10,2005,10m,Video,,['Documentary'],https://www.imdb.com/title/tt1006835/?ref_=nm_flmg_slf_102
Charlie and the Chocolate Factory: Designer Chocolate,['self'],8.0/10,2005,12m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1018695/?ref_=nm_flmg_slf_103
"Charlie and the Chocolate Factory: Different Faces, Different Flavors",['self'],8.2/10,2005,10m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1018696/?ref_=nm_flmg_slf_104
At the Movies,['self'],8.3/10,2004–2014,30m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0421288/?ref_=nm_flmg_slf_105
Attack of the Squirrels!,['self'],7.2/10,2005,10m,Video,,"['Documentary', 'Short', 'Adventure']",https://www.imdb.com/title/tt0805183/?ref_=nm_flmg_slf_106
3rd Irish Film and Television Awards,['self'],7.0/10,2005,1h 45m,TV Special,,[],https://www.imdb.com/title/tt0488075/?ref_=nm_flmg_slf_107
El Magacine,['self'],4.8/10,1996–,1h,TV Series,,['News'],https://www.imdb.com/title/tt0475467/?ref_=nm_flmg_slf_108
Planet Voice,['self'],5.7/10,2004–,3h,TV Series,,"['Comedy', 'Game-Show', 'Music']",https://www.imdb.com/title/tt0778564/?ref_=nm_flmg_slf_109
Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Gathering Storm,['self'],7.4/10,2005,23m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0486476/?ref_=nm_flmg_slf_111
Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Legend Reborn,['self'],7.5/10,2005,31m,Video,,['Documentary'],https://www.imdb.com/title/tt0486477/?ref_=nm_flmg_slf_112
Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Road to Gotham City,['self'],7.4/10,2005,18m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0486478/?ref_=nm_flmg_slf_113
Venecia 2005: Crónica de Carlos Boyero,['self'],4.6/10,2005,24m,TV Movie,,['News'],https://www.imdb.com/title/tt0480949/?ref_=nm_flmg_slf_114
Corazón de...,['self'],3.3/10,1997–,30m,TV Series,,[],https://www.imdb.com/title/tt0463397/?ref_=nm_flmg_slf_115
The Wonderful World of Roald Dahl,['self'],7.6/10,2005,48m,TV Movie,,[],https://www.imdb.com/title/tt0479212/?ref_=nm_flmg_slf_116
Becoming Oompa-Loompa,['self'],6.6/10,2005,7m,Video,PG,"['Documentary', 'Short']",https://www.imdb.com/title/tt0807837/?ref_=nm_flmg_slf_117
The Making of 'Charlie and the Chocolate Factory',['self'],7.9/10,2005,24m,TV Movie,,[],https://www.imdb.com/title/tt0987922/?ref_=nm_flmg_slf_118
100 Greatest Cartoons,['self'],6.7/10,2005,4h 5m,TV Special,,"['Documentary', 'Animation', 'Family']",https://www.imdb.com/title/tt0448977/?ref_=nm_flmg_slf_119
The Many Faces of Catwoman,['self'],6.7/10,2005,30m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0443114/?ref_=nm_flmg_slf_120
Ray Harryhausen: The Early Years Collection,['self'],8.2/10,2005,3h 53m,Video,,[],https://www.imdb.com/title/tt0449636/?ref_=nm_flmg_slf_121
Super Secret Movie Rules,['self'],6.5/10,2004–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt1904067/?ref_=nm_flmg_slf_122
Eigo de shabera-night,['self'],5.4/10,2001–,43m,TV Series,,[],https://www.imdb.com/title/tt0420393/?ref_=nm_flmg_slf_123
Mario Bava: Operazione paura,['self'],6.5/10,2004,54m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt0435184/?ref_=nm_flmg_slf_124
4Pop,['self'],5.3/10,2003–2004,30m,TV Series,,['Documentary'],https://www.imdb.com/title/tt0357350/?ref_=nm_flmg_slf_125
Silenci?,"['self', 'archive footage']",6.9/10,2002–2008,30m,TV Series,,['Drama'],https://www.imdb.com/title/tt0451579/?ref_=nm_flmg_slf_126
"Hollywood, Inc.",['self'],,2002,,TV Series,,['Documentary'],https://www.imdb.com/title/tt0483853/?ref_=nm_flmg_slf_127
The Hollywood Machine,['self'],,2002,52m,TV Series,,['Documentary'],https://www.imdb.com/title/tt1519189/?ref_=nm_flmg_slf_128
De Superman à Spider-Man: L'aventure des super-héros,['self'],6.9/10,2001,1h 40m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt0420574/?ref_=nm_flmg_slf_129
Planet of the Apes: Ape Couture,['self'],,2001,7m,Video,,['Short'],https://www.imdb.com/title/tt5357488/?ref_=nm_flmg_slf_130
Planet of the Apes: Face Like a Monkey,['self'],,2001,30m,Video,,['Documentary'],https://www.imdb.com/title/tt5357456/?ref_=nm_flmg_slf_131
The Making of 'Planet of the Apes',['self'],6.2/10,2001,27m,TV Movie,,[],https://www.imdb.com/title/tt0370925/?ref_=nm_flmg_slf_132
Troldspejlet,"['self', 'archive footage']",8.8/10,1989–,25m,TV Series,,['News'],https://www.imdb.com/title/tt0318251/?ref_=nm_flmg_slf_133
Planet of the Apes: Rule the Planet,['self'],6.2/10,2001,,TV Short,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0293514/?ref_=nm_flmg_slf_134
Sleepy Hollow: Behind the Legend,['self'],6.9/10,2001,29m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0311821/?ref_=nm_flmg_slf_135
Mario Bava: Maestro of the Macabre,['self'],6.9/10,2000,1h,TV Movie,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt0301605/?ref_=nm_flmg_slf_136
Exposure,['self'],8.0/10,2000–2001,1h,TV Series,,"['Animation', 'Sci-Fi']",https://www.imdb.com/title/tt0244342/?ref_=nm_flmg_slf_137
Lo + plus,['self'],6.8/10,1995–2005,1h,TV Series,,[],https://www.imdb.com/title/tt0373558/?ref_=nm_flmg_slf_138
The Directors,['self'],7.6/10,1997–2008,1h,TV Series,,['Documentary'],https://www.imdb.com/title/tt0224861/?ref_=nm_flmg_slf_139
The Howard Stern Radio Show,['self'],6.7/10,1998–2001,,TV Series,,[],https://www.imdb.com/title/tt0165319/?ref_=nm_flmg_slf_140
The Martin Short Show,['self'],5.3/10,1999–2000,1h,TV Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0221762/?ref_=nm_flmg_slf_141
Conan O'Brien,['self'],8.2/10,1993–2009,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0106052/?ref_=nm_flmg_slf_142
A-Z of Horror,['self'],7.8/10,1997–,,TV Mini Series,,"['Documentary', 'Horror']",https://www.imdb.com/title/tt0280226/?ref_=nm_flmg_slf_143
Le cercle de minuit,['self'],6.6/10,1992–,,TV Series,,[],https://www.imdb.com/title/tt2314629/?ref_=nm_flmg_slf_144
Alta Voltagem,['self'],7.0/10,1996–1997,,TV Series,,"['Action', 'News']",https://www.imdb.com/title/tt2042756/?ref_=nm_flmg_slf_145
Nulle part ailleurs,['self'],6.9/10,1987–2001,2h,TV Series,,"['Comedy', 'Music']",https://www.imdb.com/title/tt0196277/?ref_=nm_flmg_slf_146
The Movie Show,['self'],7.8/10,1991–2008,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0271918/?ref_=nm_flmg_slf_147
Showbiz Today,['self'],4.7/10,1985–2005,,TV Series,,['News'],https://www.imdb.com/title/tt0185822/?ref_=nm_flmg_slf_148
L'Oeil du cyclone,['self'],7.6/10,1991–2000,27m,TV Series,,"['Documentary', 'Animation']",https://www.imdb.com/title/tt1868747/?ref_=nm_flmg_slf_149
The 52nd Annual Golden Globe Awards,['self'],6.3/10,1995,,TV Special,,['Music'],https://www.imdb.com/title/tt0482447/?ref_=nm_flmg_slf_150
A Century of Cinema,['self'],6.4/10,1994,1h 12m,Movie,,[],https://www.imdb.com/title/tt0109390/?ref_=nm_flmg_slf_151
AFI Life Achievement Award,['self'],6.5/10,1973–,,TV Series,,[],https://www.imdb.com/title/tt15441582/?ref_=nm_flmg_slf_152
Moviewatch,['self'],7.2/10,1993–1998,25m,TV Series,,[],https://www.imdb.com/title/tt0200355/?ref_=nm_flmg_slf_154
How the Grinch Stole Christmas! Special Edition,['self'],7.3/10,1994,20m,TV Short,,"['Short', 'Documentary']",https://www.imdb.com/title/tt0347202/?ref_=nm_flmg_slf_155
Movie Magic,['self'],8.8/10,1994–1997,30m,TV Series,,"['Documentary', 'Short', 'History']",https://www.imdb.com/title/tt0108865/?ref_=nm_flmg_slf_156
Masters of Illusion: The Wizards of Special Effects,['self'],5.1/10,1994,1h,TV Special,,[],https://www.imdb.com/title/tt0323208/?ref_=nm_flmg_slf_157
Biography,['self'],7.7/10,1987–,1h,TV Series,,"['Documentary', 'Biography', 'History']",https://www.imdb.com/title/tt0092322/?ref_=nm_flmg_slf_158
DeVito's 11¼,['self'],,1993,11m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt8898078/?ref_=nm_flmg_slf_159
The Making of Tim Burton's 'The Nightmare Before Christmas',['self'],7.8/10,1993,25m,Video,,['Documentary'],https://www.imdb.com/title/tt1028555/?ref_=nm_flmg_slf_160
Our Favorite Movies,['self'],,1992–2000,,TV Series,,['Family'],https://www.imdb.com/title/tt0423709/?ref_=nm_flmg_slf_161
Wogan,['self'],6.0/10,1982–1992,35m,TV Series,,[],https://www.imdb.com/title/tt0083504/?ref_=nm_flmg_slf_162
In the Director's Chair: The Man Who Invented Edward Scissorhands,['self'],6.6/10,1990,26m,TV Movie,,[],https://www.imdb.com/title/tt0790684/?ref_=nm_flmg_slf_164
Premiere: Inside the Summer Blockbusters,['self'],,1989,1h,TV Movie,,['Documentary'],https://www.imdb.com/title/tt1230564/?ref_=nm_flmg_slf_165
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,['News'],https://www.imdb.com/title/tt0044298/?ref_=nm_flmg_slf_166
Backstage at Disney,['self'],6.8/10,1983,,TV Movie,,['Documentary'],https://www.imdb.com/title/tt5040914/?ref_=nm_flmg_slf_167
Minty Comedic Arts,['archive footage'],8.5/10,2015–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt15481624/?ref_=nm_flmg_arf_1
The Sparks Brothers,['archive footage'],7.8/10,2021,2h 20m,Movie,7,"['Documentary', 'Biography', 'Comedy']",https://www.imdb.com/title/tt8610436/?ref_=nm_flmg_arf_2
The Movies That Made Us,['archive footage'],7.6/10,2019–,44m,TV Series,TV-PG,"['Documentary', 'Family']",https://www.imdb.com/title/tt10681222/?ref_=nm_flmg_arf_3
Wait in the Wings,['archive footage'],,2019–,,TV Series,,[],https://www.imdb.com/title/tt13403868/?ref_=nm_flmg_arf_4
Les Chroniques du Mea,['archive footage'],6.4/10,2012–,,TV Series,,['History'],https://www.imdb.com/title/tt11635416/?ref_=nm_flmg_arf_5
Yesterworld,['archive footage'],9.0/10,2016–,6m,TV Series,,[],https://www.imdb.com/title/tt8835366/?ref_=nm_flmg_arf_6
Deep Fat Fried,['archive footage'],8.2/10,2018–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt10309488/?ref_=nm_flmg_arf_7
Behind the Scenes,['archive footage'],7.1/10,2017,2h 41m,Movie,,[],https://www.imdb.com/title/tt15292952/?ref_=nm_flmg_arf_8
Le Fossoyeur de Films,['archive footage'],7.3/10,2012–,,TV Mini Series,,[],https://www.imdb.com/title/tt6217376/?ref_=nm_flmg_arf_9
L'antre du Mea,['archive footage'],7.4/10,2010–,,TV Series,,[],https://www.imdb.com/title/tt11635304/?ref_=nm_flmg_arf_10
British Legends of Stage and Screen,['archive footage'],7.6/10,2012–,1h,TV Series,,['Documentary'],https://www.imdb.com/title/tt2417404/?ref_=nm_flmg_arf_11
Comedy Lab,['archive footage'],5.4/10,1998–2011,25m,TV Series,,['Comedy'],https://www.imdb.com/title/tt0178131/?ref_=nm_flmg_arf_13
Waking Sleeping Beauty,['archive footage'],7.5/10,2009,1h 26m,Movie,PG,"['Documentary', 'Drama', 'History']",https://www.imdb.com/title/tt1159961/?ref_=nm_flmg_arf_15
"Penélope, camino a los Oscar",['archive footage'],5.5/10,2007,28m,TV Movie,,[],https://www.imdb.com/title/tt0969315/?ref_=nm_flmg_arf_16
Cannes 2006: Crónica de Carlos Boyero,['archive footage'],5.5/10,2006,26m,TV Movie,,[],https://www.imdb.com/title/tt0812224/?ref_=nm_flmg_arf_17
Fashion Police,['archive footage'],6.0/10,2002–,,TV Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0799870/?ref_=nm_flmg_arf_18
Batman Returns Heroes: Batman,['archive footage'],6.3/10,2005,3m,Video,,['Documentary'],https://www.imdb.com/title/tt1654000/?ref_=nm_flmg_arf_19
Batman Villains: The Joker,['archive footage'],5.3/10,2005,5m,Video,,['Documentary'],https://www.imdb.com/title/tt1297268/?ref_=nm_flmg_arf_20
Cinema mil,['archive footage'],7.1/10,2005,30m,TV Series,,[],https://www.imdb.com/title/tt0470644/?ref_=nm_flmg_arf_22
Épreuves d'artistes,['archive footage'],3.9/10,2004,52m,TV Movie,,[],https://www.imdb.com/title/tt0434462/?ref_=nm_flmg_arf_23
Pie Plates Over Hollywood,['archive footage'],5.5/10,2002,14m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0437424/?ref_=nm_flmg_arf_24
Histoires de festival,['archive footage'],4.9/10,2002,26m,TV Movie,,[],https://www.imdb.com/title/tt0488301/?ref_=nm_flmg_arf_25
E! True Hollywood Story,['archive footage'],6.4/10,1996–,1h,TV Series,TV-PG,"['Documentary', 'Biography']",https://www.imdb.com/title/tt0463399/?ref_=nm_flmg_arf_26
