Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Dark Shadows,['director'],6.2/10,2012,1h 53m,Movie,11,"['Comedy', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt1077368/?ref_=nm_flmg_dr_10
Alice återvänder till Underlandet,['director'],6.4/10,2010,1h 48m,Movie,11,"['Adventure', 'Family']",https://www.imdb.com/title/tt1014759/?ref_=nm_flmg_dr_11
Sweeney Todd: The Demon Barber of Fleet Street,['director'],7.3/10,2007,1h 56m,Movie,15,"['Drama', 'Horror', 'Musical']",https://www.imdb.com/title/tt0408236/?ref_=nm_flmg_dr_12
The Killers: Bones,"['director', 'writer']",7.1/10,2006,4m,Music Video,,['Fantasy'],https://www.imdb.com/title/tt6378882/?ref_=nm_flmg_dr_13
Cinema16: American Short Films,['director'],7.5/10,2006,3h 29m,Video,,[],https://www.imdb.com/title/tt0913955/?ref_=nm_flmg_dr_14
Kalle och chokladfabriken,['director'],6.7/10,2005,1h 55m,Movie,Btl,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0367594/?ref_=nm_flmg_dr_16
Big Fish,['director'],8.0/10,2003,2h 5m,Movie,11,"['Adventure', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt0319061/?ref_=nm_flmg_dr_17
Apornas planet,['director'],5.7/10,2001,1h 59m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt0133152/?ref_=nm_flmg_dr_19
Sleepy Hollow,['director'],7.3/10,1999,1h 45m,Movie,15,"['Fantasy', 'Horror', 'Mystery']",https://www.imdb.com/title/tt0162661/?ref_=nm_flmg_dr_20
Batman,['director'],7.5/10,1989,2h 6m,Movie,15,['Action'],https://www.imdb.com/title/tt0096895/?ref_=nm_flmg_dr_26
Faerie Tale Theatre,['director'],8.3/10,1982–1987,50m,TV Series,,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0199214/?ref_=nm_flmg_dr_28
Alfred Hitchcock Presents,['director'],7.7/10,1985–1989,22m,TV Series,TV-PG,"['Crime', 'Drama', 'Mystery']",https://www.imdb.com/title/tt0088476/?ref_=nm_flmg_dr_29
Pee-Wees stora äventyr,"['director', 'actor']",7.0/10,1985,1h 31m,Movie,11,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0089791/?ref_=nm_flmg_dr_30
Hansel and Gretel,"['director', 'writer', 'production designer']",6.2/10,1983,45m,TV Movie,,[],https://www.imdb.com/title/tt0249567/?ref_=nm_flmg_dr_32
Vincent,"['director', 'writer', 'production designer']",8.3/10,1982,6m,Movie,G,"['Animation', 'Short', 'Family']",https://www.imdb.com/title/tt0084868/?ref_=nm_flmg_dr_33
Doctor of Doom,"['director', 'writer', 'actor']",4.6/10,1979,11m,Movie,,"['Animation', 'Short']",https://www.imdb.com/title/tt0898907/?ref_=nm_flmg_dr_36
King and Octopus Animation,['director'],5.1/10,1979,4m,Movie,,['Animation'],https://www.imdb.com/title/tt5186114/?ref_=nm_flmg_dr_37
1997,['director'],6.2/10,1974,4m,Movie,,[],https://www.imdb.com/title/tt5186106/?ref_=nm_flmg_dr_38
Tim's Dreams,"['director', 'actor']",6.3/10,1972,10m,Movie,,['Short'],https://www.imdb.com/title/tt5186100/?ref_=nm_flmg_dr_39
Houdini: The Untold Story,['director'],4.8/10,1971,4m,Movie,,[],https://www.imdb.com/title/tt5186096/?ref_=nm_flmg_dr_40
Cadillac: ScissorHandsFree,['writer'],8.2/10,2021,1m,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt14018268/?ref_=nm_flmg_wr_1
Edward Scissorhands Spoof,['writer'],,2016,8m,Movie,,['Short'],https://www.imdb.com/title/tt10929942/?ref_=nm_flmg_wr_2
Amazing Stories,['animation department'],7.4/10,1985–1987,30m,TV Series,PG,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0088478/?ref_=nm_flmg_anm_4
Tron,['animation department'],6.7/10,1982,1h 36m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt0084827/?ref_=nm_flmg_anm_5
Micke och Molle - Vänner när det gäller,['animation department'],7.2/10,1981,1h 23m,Movie,7,"['Animation', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0082406/?ref_=nm_flmg_anm_7
Sagan om ringen,['animation department'],6.2/10,1978,2h 12m,Movie,11,"['Animation', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt0077869/?ref_=nm_flmg_anm_9
Men in Black 3,['actor'],6.8/10,2012,1h 46m,Movie,11,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt1409024/?ref_=nm_flmg_act_3
Vampires Kiss/Blood Inside,['actor'],5.5/10,2012,10m,Movie,,"['Short', 'Horror']",https://www.imdb.com/title/tt2383014/?ref_=nm_flmg_act_4
Hoffa,['actor'],6.6/10,1992,2h 20m,Movie,15,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt0104427/?ref_=nm_flmg_act_5
Singles,['actor'],6.7/10,1992,1h 39m,Movie,11,"['Comedy', 'Drama', 'Music']",https://www.imdb.com/title/tt0105415/?ref_=nm_flmg_act_6
Taran och den magiska kitteln,['art department'],6.3/10,1985,1h 20m,Movie,7,"['Animation', 'Action']",https://www.imdb.com/title/tt0088814/?ref_=nm_flmg_ardp_1
DC Villains - Catwoman: The Feline Femme Fatale,"['thanks', 'self']",6.7/10,2021,,Video,,['Documentary'],https://www.imdb.com/title/tt16191198/?ref_=nm_flmg_tk_1
Le Règne des super-héroïnes,['thanks'],5.0/10,2021,1h 22m,TV Movie,TV-MA,['Documentary'],https://www.imdb.com/title/tt14703148/?ref_=nm_flmg_tk_2
The Nightmare Before Christmas in Concert,['thanks'],7.8/10,2020,,Video,,"['Family', 'Musical']",https://www.imdb.com/title/tt13241708/?ref_=nm_flmg_tk_3
Sticky,['thanks'],,2019,3m,Movie,,"['Short', 'Action', 'Comedy']",https://www.imdb.com/title/tt9595868/?ref_=nm_flmg_tk_4
Sign Gene,['thanks'],7.3/10,2017,1h 8m,Movie,,['Adventure'],https://www.imdb.com/title/tt4715060/?ref_=nm_flmg_tk_5
Vedro,['thanks'],3.7/10,2013–,30m,TV Series,,"['Comedy', 'Horror', 'Sci-Fi']",https://www.imdb.com/title/tt4939036/?ref_=nm_flmg_tk_6
Green Lake,['thanks'],7.6/10,2016,36m,Movie,,"['Short', 'Horror']",https://www.imdb.com/title/tt5050068/?ref_=nm_flmg_tk_7
La Conservation et la Restauration des Films de Ladislas Starewitch (Carnet Filmé: 24 avril 2015),['thanks'],,2015,1h 30m,Movie,,[],https://www.imdb.com/title/tt12493646/?ref_=nm_flmg_tk_8
Batman: The Birth of the Modern Blockbuster,['thanks'],7.1/10,2014,25m,Movie,,[],https://www.imdb.com/title/tt4355656/?ref_=nm_flmg_tk_9
Twinky,['thanks'],8.6/10,2013,8m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt2232380/?ref_=nm_flmg_tk_10
Don't Say No Until I Finish Talking: The Story of Richard D. Zanuck,"['thanks', 'self']",7.1/10,2013,1h 28m,Movie,,['Documentary'],https://www.imdb.com/title/tt2310814/?ref_=nm_flmg_tk_11
Kiddy Kiddy Bang Bang,['thanks'],9.1/10,2012,9m,Movie,,"['Short', 'Horror']",https://www.imdb.com/title/tt2182216/?ref_=nm_flmg_tk_12
L'homme au parapluie: Une histoire de Cendrillon,['thanks'],,2012,5m,Movie,,['Animation'],https://www.imdb.com/title/tt4401618/?ref_=nm_flmg_tk_13
Abraham Lincoln Vampire Hunter: The Great Calamity,['thanks'],5.9/10,2012,14m,Video,,"['Animation', 'Short']",https://www.imdb.com/title/tt2396396/?ref_=nm_flmg_tk_14
Berberian Sound Studio,['thanks'],6.2/10,2012,1h 32m,Movie,Not Rated,"['Drama', 'Horror']",https://www.imdb.com/title/tt1833844/?ref_=nm_flmg_tk_15
Batman Returns: Rob Burman on Mold Making and Costumes,['thanks'],,2012,14m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt2186524/?ref_=nm_flmg_tk_16
A Little Bit Zombie,['thanks'],5.3/10,2012,1h 27m,Movie,R,"['Comedy', 'Horror', 'Sci-Fi']",https://www.imdb.com/title/tt1912982/?ref_=nm_flmg_tk_17
Dead Friends,['thanks'],6.4/10,2011,12m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt1948552/?ref_=nm_flmg_tk_18
VIViD,['thanks'],3.8/10,2011,1h 20m,Movie,Unrated,"['Fantasy', 'Horror', 'Sci-Fi']",https://www.imdb.com/title/tt1735233/?ref_=nm_flmg_tk_19
Plan 666 from Outer Space,['thanks'],7.3/10,2010,26m,Movie,,"['Short', 'Comedy', 'Horror']",https://www.imdb.com/title/tt1592169/?ref_=nm_flmg_tk_20
Vampire City 2: Rock 'N Roll Zombies from Outer Space,['thanks'],5.8/10,2009,1h 15m,Movie,,"['Action', 'Comedy', 'Horror']",https://www.imdb.com/title/tt1528836/?ref_=nm_flmg_tk_21
