Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Cyrus,['actor'],6.3/10,2010,1h 31m,Movie,Btl,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt1336617/?ref_=nm_flmg_act_38
Simpsons,['actor'],8.7/10,1989–,22m,TV Series,7,"['Animation', 'Comedy']",https://www.imdb.com/title/tt0096697/?ref_=nm_flmg_act_39
The Invention of Lying,['actor'],6.3/10,2009,1h 40m,Movie,11,"['Comedy', 'Fantasy']",https://www.imdb.com/title/tt1058017/?ref_=nm_flmg_act_40
Funny People,['actor'],6.3/10,2009,2h 26m,Movie,7,['Comedy'],https://www.imdb.com/title/tt1201167/?ref_=nm_flmg_act_41
Natt på museet 2,['actor'],6.0/10,2009,1h 45m,Movie,7,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt1078912/?ref_=nm_flmg_act_42
Reno 911!,['actor'],7.9/10,2003–,22m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0370194/?ref_=nm_flmg_act_43
"Tim and Eric Awesome Show, Great Job!",['actor'],7.6/10,2007–2017,11m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0912343/?ref_=nm_flmg_act_44
Just Add Water,['actor'],5.6/10,2008,1h 35m,Movie,R,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0790723/?ref_=nm_flmg_act_45
Dumpad,['actor'],7.1/10,2008,1h 51m,Movie,15,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0800039/?ref_=nm_flmg_act_46
Horton,['actor'],6.8/10,2008,1h 26m,Movie,Btl,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0451079/?ref_=nm_flmg_act_47
Strange Wilderness,['actor'],5.2/10,2008,1h 27m,Movie,R,['Adventure'],https://www.imdb.com/title/tt0489282/?ref_=nm_flmg_act_48
Walk Hard: The Dewey Cox Story,['actor'],6.8/10,2007,1h 36m,Movie,11,['Comedy'],https://www.imdb.com/title/tt0841046/?ref_=nm_flmg_act_49
Tim and Eric Nite Live,['actor'],7.9/10,2007–,30m,TV Series,,['Comedy'],https://www.imdb.com/title/tt1188970/?ref_=nm_flmg_act_50
Wainy Days,['actor'],7.7/10,2007–2011,2h 51m,TV Series,Not Rated,['Comedy'],https://www.imdb.com/title/tt1137992/?ref_=nm_flmg_act_51
Supersugen,['actor'],7.6/10,2007,1h 53m,Movie,11,['Comedy'],https://www.imdb.com/title/tt0829482/?ref_=nm_flmg_act_52
Clark and Michael,['actor'],8.5/10,2007,,TV Series,,['Comedy'],https://www.imdb.com/title/tt0914803/?ref_=nm_flmg_act_53
Evan den allsmäktige,['actor'],5.4/10,2007,1h 36m,Movie,7,"['Comedy', 'Family']",https://www.imdb.com/title/tt0413099/?ref_=nm_flmg_act_54
Human Giant,['actor'],8.1/10,2007–2008,30m,TV Series,TV-14,[],https://www.imdb.com/title/tt0876298/?ref_=nm_flmg_act_55
På smällen,['actor'],6.9/10,2007,2h 9m,Movie,7,['Comedy'],https://www.imdb.com/title/tt0478311/?ref_=nm_flmg_act_56
Rocket Science,['actor'],6.6/10,2007,1h 41m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0477078/?ref_=nm_flmg_act_57
