Title,Category,Rating,Year,Length,Type,Age,Genre
Ennio: The Maestro,['self'],8.4/10,2021,2h 36m,Movie,15,"['Documentary', 'Biography', 'Music']"
Django & Django,['self'],6.9/10,2021,1h 20m,Movie,,['Documentary']
Armchair Expert with Dax Shepard,['self'],8.6/10,2018–,,Podcast Series,,['Talk-Show']
CBS News Sunday Morning,['self'],7.7/10,1979–,1h 30m,TV Series,TV-PG,"['News', 'Talk-Show']"
The Joe Rogan Experience,"['self', 'archive footage']",8.7/10,2009–,3h,Podcast Series,TV-MA,"['Comedy', 'Talk-Show']"
WTF with Marc Maron,['self'],8.0/10,2009–,,Podcast Series,,['Talk-Show']
Real Time with Bill Maher,['self'],7.4/10,2003–,1h,TV Series,TV-MA,"['Comedy', 'News', 'Talk-Show']"
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show']
"Michael Cimino, un mirage américain",['self'],7.2/10,2021,2h 10m,Movie,,"['Documentary', 'Biography']"
Success Formula,['self'],9.6/10,2021,1h,Movie,,"['Documentary', 'Biography', 'Family']"
The Artist's Adventures,['self'],5.3/10,2016–,22m,TV Series,,"['Documentary', 'Adventure', 'Biography']"
The Anytime Show with Mister H. I.,['self'],8.4/10,2020–,,TV Series,,['Talk-Show']
Jay Sebring.... Cutting to the Truth,['self'],8.3/10,2020,1h 31m,Movie,Not Rated,"['Documentary', 'Biography']"
The Oscars,"['self', 'self']",6.5/10,2020,2h 50m,TV Special,TV-14,['Music']
Ok! TV,['self'],2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']"
EE British Academy Film Awards,['self'],6.0/10,2020,,TV Special,,['News']
The 26th Annual Screen Actors Guild Awards,['self'],6.9/10,2020,,TV Special,TV-14,['News']
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show']
The 25th Annual Critics' Choice Awards,['self'],6.5/10,2020,3h,TV Special,TV-14,['News']
The Tonight Show Starring Jimmy Fallon,['self'],7.1/10,2014–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']"
2020 Golden Globe Awards,['self'],7.2/10,2020,2h 14m,TV Special,TV-14,['Comedy']
Late Night with Seth Meyers,['self'],6.2/10,2014–,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']"
Once Upon a Time in Hollywood Live Q&A,['self'],,2019,,TV Special,,[]
21 Years: Quentin Tarantino,['self'],7.3/10,2019,1h 43m,Movie,TV-MA,['Documentary']
"Ostorozhno, Sobchak",['self'],3.0/10,2019–,1h,TV Series,,"['Documentary', 'Biography', 'Talk-Show']"
"Piero Vivarelli, Life as a B-Movie",['self'],6.9/10,2019,1h 30m,Movie,,"['Documentary', 'Biography']"
Días de cine,['self'],6.8/10,1991–,1h,TV Series,,['News']
Entertainers with Byron Allen,['self'],2.6/10,2000–,,TV Series,,['Documentary']
The Swinging Sixties: Movie Marathon,['self'],6.4/10,2019,3h,TV Mini Series,,['Documentary']
Good Morning Britain,['self'],3.1/10,2014–,2h 30m,TV Series,,"['News', 'Talk-Show']"
Front Row Flynn,['self'],,2018–,,TV Series,,['Talk-Show']
WGN Morning News,['self'],6.6/10,1994–,,TV Series,,['News']
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']"
Entertainment Tonight Canada,['self'],3.5/10,2005–,30m,TV Series,,"['Biography', 'Family', 'News']"
Why Are We Creative?,['self'],6.8/10,2018,1h 24m,Movie,Btl,['Documentary']
Friedkin Uncut,['self'],7.1/10,2018,1h 47m,Movie,Not Rated,"['Documentary', 'Biography', 'History']"
What She Said: The Art of Pauline Kael,['self'],6.8/10,2018,1h 38m,Movie,,"['Documentary', 'Biography']"
The Great Buster,['self'],7.5/10,2018,1h 42m,Movie,Not Rated,"['Documentary', 'Biography']"
Tourner pour vivre,['self'],5.1/10,2016,1h 49m,Movie,,['Documentary']
Emigratis,['self'],7.1/10,2016–2018,,TV Series,,"['Adventure', 'Comedy', 'Reality-TV']"
Bunte Now,['self'],,2016–,,TV Series,,['News']
Circus Halligalli,['self'],6.6/10,2013–2017,45m,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
73rd Golden Globe Awards,['self'],7.0/10,2016,,TV Special,TV-14,['Comedy']
Lip Sync Battle,['self'],7.2/10,2015–,30m,TV Series,TV-PG,['Music']
WWF SmackDown!,['self'],7.2/10,1999–,2h,TV Series,TV-14,"['Action', 'Sport']"
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
WhatCulture Originals,['self'],7.2/10,2014–,,TV Series,,['Documentary']
Close Up with the Hollywood Reporter,['self'],7.0/10,2015–,1h,TV Series,TV-14,['Talk-Show']
John Travolta: Rückkehr nach Hollywood,['self'],6.0/10,2015,53m,Movie,,"['Documentary', 'Biography']"
MTV News,['self'],4.9/10,1989–,5m,TV Series,,"['Music', 'News']"
TFI Friday,['self'],6.7/10,1996–2015,1h 14m,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
Weekend Ticket,['self'],5.2/10,2013–,,TV Series,,"['Short', 'News']"
The Big Fat Quiz of the Year,['self'],7.7/10,2015,1h 37m,TV Special,,"['Comedy', 'Game-Show']"
A Christmas Eve Conversation with Quentin Tarantino & Paul Thomas Anderson,['self'],6.9/10,2015,41m,Video,,"['Short', 'Talk-Show']"
Rotten Tomatoes,['self'],2.9/10,2012–,2m,TV Series,,['Talk-Show']
DP/30: Conversations About Movies,['self'],8.1/10,2007–,30m,TV Series,,['Talk-Show']
The Big Interview with Dan Rather,['self'],8.7/10,2013–,1h,TV Series,TV-14,['News']
La légende de la palme d'or,['self'],6.7/10,2015,1h 10m,TV Movie,,['Documentary']
LA Times: The Envelope,['self'],,2015–,,TV Series,,['Talk-Show']
The Late Late Show with Craig Ferguson,['self'],8.4/10,2005–2015,40m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
The Director's Chair,['self'],8.8/10,2014–2018,45m,TV Series,TV-14,"['Biography', 'Talk-Show']"
One Day Since Yesterday: Peter Bogdanovich & the Lost American Film,['self'],7.2/10,2014,2h,Movie,Not Rated,['Documentary']
Festival international de Cannes,['self'],7.2/10,1952–,,TV Series,,['News']
La nuit des Césars,['self'],5.3/10,1976–,,TV Series,,['Documentary']
Bret Easton Ellis Podcast,['self'],,2013–,,Podcast Series,,['Talk-Show']
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Dann Firestorm: I Am Film,['self'],,2012–,20m,TV Mini Series,,['Comedy']
E! Live from the Red Carpet,['self'],3.7/10,1995–,4h,TV Series,Unrated,['News']
Waratte iitomo!,['self'],6.4/10,1982–2014,,TV Series,,"['Comedy', 'Game-Show', 'Talk-Show']"
Vivir de cine,['self'],5.5/10,2012–2013,,TV Series,,['News']
70th Golden Globe Awards,['self'],7.4/10,2013,,TV Special,,['News']
The Graham Norton Show,"['self', 'archive footage']",8.4/10,2007–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']"
Film '72,['self'],7.0/10,1971–2018,30m,TV Series,,['Talk-Show']
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy', 'Talk-Show']"
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']"
The Hour,"['self', 'archive footage']",6.4/10,2004–2014,1h,TV Series,,"['Comedy', 'Music', 'News']"
TV One on One,['self'],6.2/10,2004–,1h,TV Series,,['Talk-Show']
The BAFTA Britannia Awards,['self'],6.6/10,2012,,TV Special,,[]
Piers Morgan Tonight,['self'],2.7/10,2011–,1h,TV Series,,['Talk-Show']
Bar25,['self'],6.9/10,2012,1h 35m,Movie,,['Documentary']
Synantiseis me axiosimeiotous anthropous,['self'],,2012–,,TV Series,,['Documentary']
MSN Exclusives,['self'],5.6/10,2012–,10m,TV Series,,"['Biography', 'Talk-Show']"
Method to the Madness of Jerry Lewis,['self'],7.2/10,2011,1h 55m,TV Movie,Not Rated,"['Documentary', 'Biography']"
Nightmare Factory,['self'],7.3/10,2011,1h 30m,TV Movie,Not Rated,['Documentary']
Scream Awards 2011,['self'],6.3/10,2011,,TV Special,,[]
The Role That Changed My Life,['self'],3.7/10,2007–2011,22m,TV Series,,['Documentary']
The Greatest Movie Ever Sold,['self'],6.6/10,2011,1h 30m,Movie,PG-13,"['Documentary', 'Comedy']"
Corman's World: Exploits of a Hollywood Rebel,['self'],7.5/10,2011,1h 35m,Movie,R,['Documentary']
16th Annual Critics' Choice Movie Awards,['self'],6.0/10,2011,2h 10m,TV Special,,['Documentary']
"Michel Ciment, le cinéma en partage",['self'],,2010,52m,Movie,,['Documentary']
"Gilles Jacob, l'arpenteur de la croisette",['self'],5.8/10,2010,1h 7m,TV Movie,,['Documentary']
Hollywood Don't Surf!,['self'],7.9/10,2010,,Movie,,['Documentary']
Tavis Smiley,['self'],5.5/10,2004–2017,30m,TV Series,,['Talk-Show']
La noche de los Oscar,['self'],,2010,,TV Special,,[]
The 82nd Annual Academy Awards,['self'],6.7/10,2010,3h 37m,TV Special,TV-14,['News']
41st NAACP Image Awards,['self'],2.8/10,2010,2h,TV Special,TV-G,['Family']
Xposé,['self'],2.8/10,2007–2019,30m,TV Series,,"['Music', 'News', 'Talk-Show']"
The Orange British Academy Film Awards: Red Carpet,['self'],,2010,,TV Special,,[]
Live from Studio Five,['self'],2.4/10,2009–2011,1h 5m,TV Series,,"['News', 'Talk-Show']"
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News']
MTV Movie Night,['self'],,2010–2013,,TV Series,,['Talk-Show']
The 52nd Annual Grammy Awards,['self'],5.2/10,2010,,TV Special,,['Music']
The Tonight Show with Conan O'Brien,['self'],8.0/10,2009–2010,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
The Jay Leno Show,['self'],3.6/10,2009–2010,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']"
Golden Globe Awards,['self'],7.3/10,2010,,TV Special,,"['Comedy', 'Music', 'News']"
Golden Globes Red Carpet Live,['self'],4.9/10,2010,2h,TV Special,,['News']
15th Annual Critics' Choice Movie Awards,['self'],5.4/10,2010,2h 9m,TV Special,,"['News', 'Reality-TV']"
À contre-temps,['self'],,2009–2013,52m,TV Series,,"['Documentary', 'Biography']"
Smap×Smap,['self'],6.4/10,1996–2016,,TV Series,,"['Comedy', 'Game-Show', 'Music']"
Scream Awards 2009,['self'],6.5/10,2009,,TV Special,,['Horror']
Parla con me,['self'],7.4/10,2004–2011,,TV Series,,['Talk-Show']
Cinema 3,['self'],6.3/10,1984–2016,,TV Series,,['News']
Rove Live,['self'],6.3/10,2000–2009,1h 15m,TV Series,,"['Comedy', 'Talk-Show']"
The Fabulous Picture Show,['self'],7.8/10,2006–2011,,TV Series,,"['History', 'Talk-Show']"
Breakfast,['self'],5.2/10,2000–,3h,TV Series,,"['Family', 'News', 'Talk-Show']"
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,['Talk-Show']
David Letterman Show,['self'],6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music', 'Talk-Show']"
20 heures le journal,['self'],5.3/10,1981–,40m,TV Series,,['News']
MTV Live,['self'],4.7/10,2006–,1h,TV Series,,['Talk-Show']
The 7PM Project,['self'],4.4/10,2009–,1h,TV Series,,"['Comedy', 'News', 'Talk-Show']"
Friday Night with Jonathan Ross,['self'],7.1/10,2001–2010,1h,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
Aamu-TV,['self'],5.7/10,1997–,,TV Series,,['News']
Spike's Guys Choice,['self'],5.9/10,2009,,TV Special,,[]
Larry King Live,['self'],5.4/10,1985–2010,1h,TV Series,,"['News', 'Talk-Show']"
How Bruce Lee Changed the World,['self'],7.7/10,2009,2h,TV Movie,Not Rated,['Documentary']
American Idol: The Search for a Superstar,['self'],4.2/10,2002–,42m,TV Series,TV-PG,"['Game-Show', 'Music', 'Reality-TV']"
Not Quite Hollywood: Deleted Scenes,['self'],,2008,1h 16m,Video,,"['Documentary', 'Biography', 'History']"
Starz Inside: Fantastic Flesh,['self'],7.4/10,2008,1h,TV Movie,TV-14,"['Documentary', 'History']"
Elvis Mitchell: Under the Influence,['self'],7.6/10,2008–,30m,TV Series,,['Talk-Show']
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",['self'],7.6/10,2008,1h 43m,Movie,R,"['Documentary', 'History']"
Dead On: The Life and Cinema of George A. Romero,['self'],6.2/10,2008,,Movie,,"['Documentary', 'Biography']"
AFI Life Achievement Award,['self'],6.5/10,1973–,,TV Series,,[]
AFI's 10 Top 10: America's 10 Greatest Films in 10 Classic Genres,['self'],7.2/10,2008,2h 12m,TV Special,,['Reality-TV']
2008 Asian Excellence Awards,['self'],7.1/10,2008,,TV Special,,[]
66th Grand Prix of Monaco,['self'],7.1/10,2008,2h 45m,TV Special,,['Sport']
Movies Rock,['self'],7.2/10,2007,,TV Movie,,['Music']
The Big Fat Anniversary Quiz,['self'],7.6/10,2007,1h 40m,TV Special,,"['Comedy', 'Game-Show']"
NRJ 12: Scream Awards,['self'],,2007,2h,TV Special,,[]
The Hot Rods of Death Proof,['self'],5.9/10,2007,12m,Video,,"['Documentary', 'Short']"
Scream Awards 2007,['self'],7.1/10,2007,,TV Special,,[]
MOBO Awards 2007,['self'],,2007,1h 30m,TV Special,,['Music']
Ant & Dec's Saturday Night Takeaway,['self'],6.1/10,2002–,50m,TV Series,TV-PG,"['Comedy', 'Game-Show']"
Eigo de shabera-night,['self'],5.4/10,2001–,43m,TV Series,,['Reality-TV']
Man of Cinema: Pierre Rissient,['self'],7.2/10,2007,1h 50m,Movie,,['Documentary']
ITV - Formula One,['self'],7.6/10,1997–2008,,TV Series,,['Sport']
The Morning Show with Mike & Juliet,['self'],4.2/10,2007–,1h,TV Series,,['Talk-Show']
2007 AZN Asian Excellence Awards,['self'],7.4/10,2007,,TV Special,,[]
L'hebdo cinéma,['self'],3.7/10,2005–,,TV Series,,['Documentary']
CenterStage,['self'],8.3/10,2002–,1h,TV Series,,"['Documentary', 'Talk-Show']"
Granada Reports,['self'],6.1/10,1992–,,TV Series,,['News']
Last Call with Carson Daly,['self'],3.1/10,2002–2019,30m,TV Series,TV-14,"['Music', 'Talk-Show']"
Conan O'Brien,['self'],8.2/10,1993–2009,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Iconoclasts,['self'],7.7/10,2005–2012,,TV Series,,['Documentary']
Scream Awards 2006,['self'],8.0/10,2006,2h,TV Special,,['News']
Space Top 10 Countdown,['self'],4.5/10,2006–2007,30m,TV Series,,['Sci-Fi']
50 Films to See Before You Die,['self'],6.2/10,2006,3h 15m,TV Movie,,['Documentary']
The Tyra Banks Show,['self'],3.9/10,2005–2011,1h,TV Series,TV-PG,['Talk-Show']
The 4th Annual TV Land Awards,['self'],6.5/10,2006,1h 30m,TV Special,,[]
2006 Asian Excellence Awards,['self'],7.0/10,2006,2h,TV Special,,['Music']
Budd Boetticher: An American Original,['self'],6.8/10,2005,51m,Video,,['Documentary']
El Magacine,['self'],4.8/10,1996–,1h,TV Series,,['News']
2005 Taurus World Stunt Awards,['self'],5.0/10,2005,,TV Special,,['Action']
The Blvd,['self'],,2005,,Video,,['Documentary']
Close Up,['self'],7.4/10,1994–,57m,TV Series,,['Documentary']
The 57th Annual Primetime Emmy Awards,['self'],5.6/10,2005,3h,TV Special,,[]
"Blood, Guts & Cleaning Supplies: The Making of 'The Janitor'",['self'],8.0/10,2005,1h 5m,Video,,['Documentary']
Kathy Griffin: My Life on the D-List,['self'],7.3/10,2005–2010,1h,TV Series,TV-14,"['Comedy', 'Reality-TV']"
2005 MTV Movie Awards,['self'],5.8/10,2005,1h 47m,TV Special,TV-PG,['Music']
Sin City: The Premiere,['self'],6.7/10,2005,30m,TV Movie,,['Documentary']
Starz on the Set: Sin City,['self'],4.4/10,2005,15m,TV Short,,"['Documentary', 'Short']"
Empire Movie Awards 2005,['self'],6.3/10,2005,1h 12m,TV Special,,[]
The 20th IFP Independent Spirit Awards,['self'],5.2/10,2005,2h 15m,TV Special,,[]
The 47th Annual Grammy Awards,['self'],4.8/10,2005,,TV Special,,['Music']
Tsunami Aid: A Concert of Hope,['self'],6.3/10,2005,2h,TV Special,,['Music']
Celluloid Horror,['self'],7.2/10,2004,1h 28m,Movie,,['Documentary']
Planet of the Pitts,['self'],4.2/10,2004,1h 52m,Movie,,"['Comedy', 'Action']"
The Cutting Edge: The Magic of Movie Editing,['self'],7.7/10,2004,1h 39m,Movie,TV-PG,['Documentary']
A Conversation with Quentin Tarantino & Scott Spiegel,['self'],6.2/10,2004,42m,Video,,"['Documentary', 'Short']"
2004 MTV Movie Awards,['self'],4.7/10,2004,2h,TV Special,,['Music']
Filmland,['self'],6.0/10,2003–2004,28m,TV Series,,['Documentary']
Z Channel: A Magnificent Obsession,['self'],7.6/10,2004,2h,TV Movie,R,"['Documentary', 'Biography', 'History']"
Tracks,['self'],7.6/10,1997–,52m,TV Series,,"['Documentary', 'Music']"
4Pop,['self'],5.3/10,2003–2004,30m,TV Series,,"['Documentary', 'Music']"
John Travolta: The Inside Story,['self'],6.3/10,2004,45m,TV Movie,,['Documentary']
Howard Stern,"['self', 'archive footage']",6.3/10,1994–2005,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']"
On-Air with Ryan Seacrest,['self'],2.4/10,2004–2009,,TV Series,,['Talk-Show']
Mario Bava: Operazione paura,['self'],6.5/10,2004,54m,TV Movie,,['Documentary']
The Making of 'Kill Bill: Volume 2',['self'],7.1/10,2004,26m,TV Movie,,['Documentary']
Double Dare,['self'],7.3/10,2004,1h 21m,Movie,Not Rated,['Documentary']
The 46th Annual Grammy Awards,['self'],5.5/10,2004,,TV Special,,['Music']
Silenci?,"['self', 'archive footage']",6.9/10,2002–2008,30m,TV Series,,['Drama']
The 2003 European Film Awards,['self'],,2003,,TV Special,,"['News', 'Reality-TV']"
Charlotte Roche trifft...,['self'],6.7/10,2003–,45m,TV Series,,"['Comedy', 'Documentary']"
Sendung ohne Namen,['self'],8.6/10,2002–2013,25m,TV Series,,"['Comedy', 'News']"
Extra,"['self', 'archive footage']",3.2/10,1994–,30m,TV Series,TV-PG,['News']
The Making of 'Kill Bill',['self'],7.6/10,2003,22m,TV Movie,,['Documentary']
Tinseltown TV,['self'],4.3/10,2002–2004,1h,TV Series,,"['Music', 'News']"
Being Simon Cowell,['self'],,2003,,TV Movie,,['Documentary']
2003 ABC World Stunt Awards,['self'],3.4/10,2003,,TV Special,,['Action']
Biography,['self'],7.7/10,1987–,1h,TV Series,,"['Documentary', 'Biography', 'History']"
Film Genre,['self'],7.3/10,2002,1h,TV Series,,['Documentary']
Reservoir Dogs: Original Interviews,['self'],7.2/10,2002,55m,TV Mini Series,,['Documentary']
"Jackie Chan: Fast, Funny and Furious",['self'],6.4/10,2002,54m,Video,Not Rated,['Documentary']
The Class of '92,['self'],4.5/10,2002,30m,Video,,"['Documentary', 'Short']"
Jackie Brown: How It Went Down,['self'],6.6/10,2002,39m,Video,,"['Documentary', 'Short']"
Pulp Fiction: The Facts,['self'],6.8/10,2002,31m,Video,,"['Documentary', 'Short']"
Baadasssss Cinema,['self'],6.9/10,2002,58m,TV Movie,,['Documentary']
All the Love You Cannes!,['self'],6.4/10,2002,1h 48m,Movie,Not Rated,"['Documentary', 'Comedy']"
8th Annual Screen Actors Guild Awards,['self'],4.9/10,2002,2h,TV Special,,['Family']
Sundance 20,['self'],5.1/10,2002,55m,Movie,,['Documentary']
Music Behind the Scenes,['self'],7.4/10,2001–,50m,TV Mini Series,,['Documentary']
The 100 Greatest Films,['self'],5.8/10,2001,,TV Movie,,['Documentary']
