Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Donnie Brasco,['actor'],7.7/10,1997,2h 7m,Movie,R,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt0119008/?ref_=nm_flmg_act_73
Divine Rapture,['actor'],6.5/10,1995,24m,Movie,,['Short'],https://www.imdb.com/title/tt8391714/?ref_=nm_flmg_act_74
Nick of Time,['actor'],6.3/10,1995,1h 30m,Movie,R,"['Action', 'Crime']",https://www.imdb.com/title/tt0113972/?ref_=nm_flmg_act_75
The Smokin' Mojo Filters: Come Together,['actor'],6.9/10,1995,4m,Music Video,,[],https://www.imdb.com/title/tt6010812/?ref_=nm_flmg_act_76
Dead Man,['actor'],7.5/10,1995,2h 1m,Movie,R,"['Adventure', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt0112817/?ref_=nm_flmg_act_77
Shane MacGowan and the Popes: That Woman's Got Me Drinking,"['actor', 'director']",6.7/10,1994,4m,Music Video,,['Short'],https://www.imdb.com/title/tt8403886/?ref_=nm_flmg_act_78
Don Juan DeMarco,['actor'],6.7/10,1994,1h 37m,Movie,PG-13,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0112883/?ref_=nm_flmg_act_79
Ed Wood,['actor'],7.8/10,1994,2h 7m,Movie,R,"['Biography', 'Comedy']",https://www.imdb.com/title/tt0109707/?ref_=nm_flmg_act_80
What's Eating Gilbert Grape,['actor'],7.7/10,1993,1h 58m,Movie,PG-13,[],https://www.imdb.com/title/tt0108550/?ref_=nm_flmg_act_81
Benny & Joon,['actor'],7.1/10,1993,1h 38m,Movie,PG,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0106387/?ref_=nm_flmg_act_82
The Lemonheads: It's a Shame About Ray,['actor'],5.9/10,1993,3m,Music Video,,[],https://www.imdb.com/title/tt8416482/?ref_=nm_flmg_act_83
Arizona Dream,['actor'],7.2/10,1993,2h 22m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0106307/?ref_=nm_flmg_act_84
Freddy's Dead: The Final Nightmare,['actor'],4.7/10,1991,1h 29m,Movie,R,"['Fantasy', 'Horror']",https://www.imdb.com/title/tt0101917/?ref_=nm_flmg_act_85
Tom Petty and the Heartbreakers: Into the Great Wide Open,['actor'],7.7/10,1991,7m,Music Video,Not Rated,['Short'],https://www.imdb.com/title/tt5292294/?ref_=nm_flmg_act_86
Edward Scissorhands,['actor'],7.9/10,1990,1h 45m,Movie,PG-13,"['Drama', 'Fantasy']",https://www.imdb.com/title/tt0099487/?ref_=nm_flmg_act_87
Cry-Baby,['actor'],6.4/10,1990,1h 25m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt0099329/?ref_=nm_flmg_act_89
R.P.G. II,['actor'],6.0/10,1988,,Movie,,['Short'],https://www.imdb.com/title/tt3494988/?ref_=nm_flmg_act_90
Hotel,['actor'],6.3/10,1983–1988,1h,TV Series,,"['Drama', 'Romance']",https://www.imdb.com/title/tt0085032/?ref_=nm_flmg_act_91
R.P.G.,['actor'],5.5/10,1986,8m,Movie,,['Short'],https://www.imdb.com/title/tt3494986/?ref_=nm_flmg_act_92
Platoon,['actor'],8.1/10,1986,2h,Movie,R,"['Drama', 'War']",https://www.imdb.com/title/tt0091763/?ref_=nm_flmg_act_93
Slow Burn,['actor'],4.9/10,1986,1h 32m,TV Movie,R,"['Drama', 'Thriller']",https://www.imdb.com/title/tt0091972/?ref_=nm_flmg_act_94
Dummies,['actor'],7.1/10,1985,7m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt3494942/?ref_=nm_flmg_act_95
Lady Blue,['actor'],6.5/10,1985–1991,1h,TV Series,TV-PG,['Drama'],https://www.imdb.com/title/tt0088549/?ref_=nm_flmg_act_96
Private Resort,['actor'],5.2/10,1985,1h 22m,Movie,R,[],https://www.imdb.com/title/tt0089839/?ref_=nm_flmg_act_97
A Nightmare on Elm Street,['actor'],7.4/10,1984,1h 31m,Movie,R,['Horror'],https://www.imdb.com/title/tt0087800/?ref_=nm_flmg_act_98
Crock of Gold: A Few Rounds with Shane MacGowan,"['producer', 'self']",7.7/10,2020,2h 4m,Movie,,"['Documentary', 'Biography', 'Music']",https://www.imdb.com/title/tt11778272/?ref_=nm_flmg_prd_2
Doug Stanhope: The Comedians' Comedian's Comedians,['producer'],6.1/10,2017,59m,TV Special,,[],https://www.imdb.com/title/tt6678722/?ref_=nm_flmg_prd_5
Doug Stanhope: No Place Like Home,['producer'],7.6/10,2016,1h 11m,TV Special,Not Rated,['Comedy'],https://www.imdb.com/title/tt5841088/?ref_=nm_flmg_prd_6
LaDonna Harris: Indian 101,['producer'],8.9/10,2014,1h 3m,Movie,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt3605292/?ref_=nm_flmg_prd_8
Hugo,['producer'],7.5/10,2011,2h 6m,Movie,PG,"['Adventure', 'Drama']",https://www.imdb.com/title/tt0970179/?ref_=nm_flmg_prd_12
Modigliani,['director'],,,,Movie,,['Biography'],https://www.imdb.com/title/tt21803918/?ref_=nm_flmg_dr_1
Babybird: Unloveable,['director'],8.6/10,2010,4m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt14649776/?ref_=nm_flmg_dr_2
Unloveable,"['director', 'writer']",8.8/10,2009,50m,Movie,,['Drama'],https://www.imdb.com/title/tt8045334/?ref_=nm_flmg_dr_3
Vanessa Paradis: Il y a,['director'],9.1/10,2009,3m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt10998154/?ref_=nm_flmg_dr_4
Vanessa Paradis: L'Incendie,['director'],8.9/10,2008,4m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt8416526/?ref_=nm_flmg_dr_5
Vanessa Paradis: Pourtant,['director'],8.8/10,2001,4m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt8408070/?ref_=nm_flmg_dr_6
Vanessa Paradis: Que fait la vie?,['director'],8.9/10,2001,5m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt8408056/?ref_=nm_flmg_dr_7
Banter,['director'],8.8/10,1994,9m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt8391658/?ref_=nm_flmg_dr_10
