Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The Oscars,"['self', 'self', 'self', 'self']",6.5/10,2020,2h 50m,TV Special,TV-14,['Music'],https://www.imdb.com/title/tt10305932/?ref_=nm_flmg_slf_28
Hot Ones,['self'],8.4/10,2015–,,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt6556992/?ref_=nm_flmg_slf_29
The View,['self'],2.5/10,1997–,1h,TV Series,TV-14,['Talk-Show'],https://www.imdb.com/title/tt0123366/?ref_=nm_flmg_slf_30
EE British Academy Film Awards,"['self', 'self']",6.0/10,2020,,TV Special,,['News'],https://www.imdb.com/title/tt11338406/?ref_=nm_flmg_slf_31
The Graham Norton Show,"['self', 'archive footage']",8.4/10,2007–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0924651/?ref_=nm_flmg_slf_32
Good Morning Britain,"['self', 'archive footage']",3.1/10,2014–,2h 30m,TV Series,,['News'],https://www.imdb.com/title/tt3644198/?ref_=nm_flmg_slf_33
The 26th Annual Screen Actors Guild Awards,['self'],6.9/10,2020,,TV Special,TV-14,[],https://www.imdb.com/title/tt10751088/?ref_=nm_flmg_slf_34
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0911896/?ref_=nm_flmg_slf_35
The 25th Annual Critics' Choice Awards,['self'],6.5/10,2020,3h,TV Special,TV-14,[],https://www.imdb.com/title/tt10150518/?ref_=nm_flmg_slf_36
2020 Golden Globe Awards,['self'],7.2/10,2020,2h 14m,TV Special,TV-14,[],https://www.imdb.com/title/tt10821190/?ref_=nm_flmg_slf_37
IMDb on the Scene - Interviews,['self'],6.0/10,2017–,,TV Series,Not Rated,['Talk-Show'],https://www.imdb.com/title/tt8596744/?ref_=nm_flmg_slf_38
The Game Awards 2019,['self'],6.5/10,2019,3h 4m,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt11464910/?ref_=nm_flmg_slf_39
Front Row Flynn,['self'],,2018–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt10525658/?ref_=nm_flmg_slf_40
Vogue Australia: Sixty Years Through the Lens,['self'],,2019,,Movie,,[],https://www.imdb.com/title/tt12691854/?ref_=nm_flmg_slf_41
Once Upon a Time in Hollywood Live Q&A,['self'],,2019,,TV Special,,[],https://www.imdb.com/title/tt21942610/?ref_=nm_flmg_slf_42
Ellen: The Ellen DeGeneres Show,['self'],6.7/10,2003–2022,1h,TV Series,TV-G,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0379623/?ref_=nm_flmg_slf_43
Chanel: Gabrielle Chanel Essence,['self'],5.7/10,2019,1m,Music Video,,['Short'],https://www.imdb.com/title/tt11012782/?ref_=nm_flmg_slf_44
Días de cine,['self'],6.8/10,1991–,1h,TV Series,,['News'],https://www.imdb.com/title/tt0390699/?ref_=nm_flmg_slf_45
Entertainers with Byron Allen,['self'],2.6/10,2000–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt0428108/?ref_=nm_flmg_slf_46
Celebrity Interviews,['self'],,2018–,,TV Series,,[],https://www.imdb.com/title/tt16069652/?ref_=nm_flmg_slf_47
WGN Morning News,['self'],6.6/10,1994–,,TV Series,,[],https://www.imdb.com/title/tt5139360/?ref_=nm_flmg_slf_48
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0044298/?ref_=nm_flmg_slf_49
Entertainment Tonight Canada,['self'],3.5/10,2005–,30m,TV Series,,"['Biography', 'Family']",https://www.imdb.com/title/tt0482346/?ref_=nm_flmg_slf_50
Sunday AM,['self'],6.5/10,2005–,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0489618/?ref_=nm_flmg_slf_52
Sunday Today with Willie Geist,['self'],6.2/10,2016–,1h,TV Series,,['News'],https://www.imdb.com/title/tt8005764/?ref_=nm_flmg_slf_53
Popcorn with Peter Travers,['self'],7.3/10,2009–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt5326328/?ref_=nm_flmg_slf_54
Show Me the Movie!,['self'],4.5/10,2018–2019,,TV Series,,"['Comedy', 'Game-Show']",https://www.imdb.com/title/tt8098384/?ref_=nm_flmg_slf_55
Close Up with the Hollywood Reporter,['self'],7.0/10,2015–,1h,TV Series,TV-14,[],https://www.imdb.com/title/tt4931888/?ref_=nm_flmg_slf_56
The Oscars Opening Ceremony: Live from the Red Carpet,['self'],7.9/10,2018,1h 30m,TV Special,,[],https://www.imdb.com/title/tt8027544/?ref_=nm_flmg_slf_58
