Title,Category,Rating,Year,Length,Type,Age,Genre
The Faculty,"['producer', 'director', 'editor', 'sound department', 'camera and electrical department', 'special effects']",6.5/10,1998,1h 44m,Movie,15,"['Horror', 'Mystery', 'Sci-Fi']"
From Dusk Till Dawn,"['producer', 'director', 'editor', 'actor', 'sound department', 'camera and electrical department']",7.2/10,1996,1h 48m,Movie,15,"['Action', 'Crime', 'Horror']"
Desperado,"['producer', 'writer', 'director', 'editor', 'camera and electrical department']",7.1/10,(Banned),1h 44m,Movie,,"['Action', 'Crime', 'Thriller']"
Falsk mördare,"['producer', 'writer', 'director', 'editor', 'sound department', 'cinematographer', 'camera and electrical department', 'music department', 'special effects', 'editorial department']",6.8/10,1992,1h 21m,Movie,15,"['Action', 'Crime', 'Thriller']"
Austin Stories,"['producer', 'director']",,1991,,Movie,,"['Short', 'Comedy']"
Jonny Quest,['writer'],,,,Movie,,"['Adventure', 'Comedy', 'Fantasy']"
Red 11,"['writer', 'director', 'editor', 'cinematographer']",4.9/10,2018,1h 26m,Movie,Not Rated,"['Horror', 'Mystery', 'Sci-Fi']"
El Mariachi,['writer'],8.1/10,2014–,,TV Series,,"['Crime', 'Thriller']"
The Legend of El,['writer'],5.9/10,2013,8m,Movie,,"['Short', 'Drama', 'Western']"
The Black Mamba,"['writer', 'director', 'composer', 'sound department', 'self']",7.0/10,2011,6m,Movie,Not Rated,"['Short', 'Action', 'Sport']"
Sin City,"['writer', 'director', 'editor', 'actor', 'composer', 'sound department', 'visual effects', 'cinematographer', 'camera and electrical department']",8.0/10,2005,2h 4m,Movie,15,"['Crime', 'Thriller']"
På äventyr med Sharkboy och Lavagirl,"['writer', 'director', 'editor', 'soundtrack', 'actor', 'composer', 'sound department', 'visual effects', 'cinematographer']",3.7/10,2004,1h 33m,Movie,Btl,"['Action', 'Adventure', 'Comedy']"
Four Rooms,"['writer', 'director', 'editor']",6.7/10,1995,1h 38m,Movie,11,['Comedy']
Roadracers,"['writer', 'director', 'editor', 'soundtrack']",6.4/10,1994,1h 35m,TV Movie,R,"['Action', 'Drama']"
Rebel Highway,"['writer', 'director', 'soundtrack']",6.4/10,1994,,TV Series,TV-MA,['Drama']
Bedhead,"['writer', 'director', 'editor', 'composer', 'sound department', 'cinematographer', 'animation department']",6.5/10,1991,8m,Movie,,"['Short', 'Comedy', 'Family']"
100 Years,"['director', 'editor']",,,,Movie,,"['Short', 'Drama']"
Haley Reinhart Off the Ground,['director'],,2021,,Movie,,['Short']
Happier Than Ever: A Love Letter to Los Angeles,['director'],7.2/10,TV-14,1h 5m,Movie,,['Music']
The Mandalorian,['director'],8.7/10,2019–,40m,TV Series,12,"['Action', 'Adventure', 'Fantasy']"
Lady Gaga & Ariana Grande: Rain on Me,['director'],7.4/10,2020,3m,Movie,,"['Short', 'Fantasy', 'Music']"
Alita: Battle Angel,"['director', 'soundtrack']",7.3/10,2019,2h 2m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Demi Lovato: Confident,['director'],6.9/10,2015,3m,Movie,Not Rated,"['Short', 'Action', 'Comedy']"
Women in Chains,['director'],,2010,,TV Series,,['Action']
Nespresso: The Piano,['director'],5.9/10,2009,2m,Video,,['Short']
How to Make Cool Home Movies,"['director', 'self']",6.7/10,2004,4m,Video,,['Short']
Ten Minute Film School: Big Movies Made Cheap,"['director', 'self']",7.4/10,2004,10m,Video,,"['Documentary', 'Short']"
Inside Troublemaker Studios,"['director', 'editor', 'self']",7.5/10,2004,11m,Video,,"['Documentary', 'Short', 'Adventure']"
Del Castillo,"['director', 'editor', 'cinematographer']",6.0/10,2003,,Video,,['Music']
Ten More Minutes: Anatomy of a Shootout,"['director', 'self']",7.3/10,1998,10m,Video,,"['Documentary', 'Short']"
The Robert Rodriguez Ten Minute Film School,"['director', 'self']",8.0/10,1998,15m,Video,,"['Documentary', 'Short']"
ZZ Top: She's Just Killing Me,['director'],6.0/10,1996,4m,Movie,,"['Short', 'Music']"
Film Is Dead: An Evening with Robert Rodriguez,"['editor', 'self']",6.5/10,2003,13m,Video,,"['Documentary', 'Short']"
Diminishing Returns,['soundtrack'],5.9/10,2016–,,Movie,,"['Comedy', 'Talk-Show']"
Pingvinerna från Madagaskar: Filmen,['soundtrack'],6.6/10,2014,1h 32m,Movie,7,"['Animation', 'Adventure', 'Comedy']"
Hell Ride,['soundtrack'],5.0/10,2008,1h 24m,Movie,15,"['Action', 'Drama', 'Thriller']"
Hot Fuzz,"['soundtrack', 'music department', 'thanks']",7.8/10,2007,2h 1m,Movie,11,"['Action', 'Comedy', 'Mystery']"
De tio budorden,['soundtrack'],5.5/10,1997,1h 28m,Movie,R,"['Comedy', 'Drama', 'Romance']"
Uncle Grandpa,['actor'],4.3/10,2010–2017,15m,TV Series,TV-PG,"['Animation', 'Comedy', 'Family']"
New World Man,['actor'],,2014,24m,Movie,,"['Short', 'Drama']"
Amelia's 25th,['actor'],3.8/10,2013,1h 19m,Movie,Not Rated,"['Animation', 'Comedy', 'Fantasy']"
The Cleveland Show,['actor'],5.6/10,2009–2013,22m,TV Series,TV-PG,"['Animation', 'Adventure', 'Comedy']"
The United Monster Talent Agency,"['actor', 'thanks']",7.2/10,2010,8m,Movie,,"['Short', 'Comedy']"
Nice Guys,['actor'],4.0/10,2006,1h 40m,Movie,R,"['Comedy', 'Crime']"
Bullfighter,['actor'],2.4/10,2000,1h 30m,Movie,R,"['Action', 'Adventure', 'Fantasy']"
Deadline,['actor'],6.4/10,2000–2001,1h,TV Series,,['Drama']
Lisa Picard Is Famous,['actor'],5.6/10,2000,1h 30m,Movie,PG-13,"['Comedy', 'Drama']"
Nash Bridges,['actor'],6.8/10,TV-14,1h,TV Series,,"['Action', 'Crime', 'Drama']"
