Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The Twilight Zone,['actor'],5.9/10,2019–2020,1h,TV Series,TV-MA,"['Drama', 'Fantasy']",https://www.imdb.com/title/tt2583620/?ref_=nm_flmg_act_29
Drunk History,['actor'],7.8/10,2013–2019,22m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt2712612/?ref_=nm_flmg_act_31
Like Father,"['actor', 'soundtrack']",6.1/10,2018,1h 38m,Movie,TV-MA,['Comedy'],https://www.imdb.com/title/tt7170950/?ref_=nm_flmg_act_32
The Joel McHale Show with Joel McHale,['actor'],7.1/10,2018,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt7895706/?ref_=nm_flmg_act_33
Netflix Acquires Seth Rogen,['actor'],4.9/10,2018,6m,Movie,TV-MA,['Short'],https://www.imdb.com/title/tt8222716/?ref_=nm_flmg_act_34
Arizona,['actor'],5.8/10,2018,1h 25m,Movie,TV-MA,['Comedy'],https://www.imdb.com/title/tt2140629/?ref_=nm_flmg_act_35
Dumpster Diving,"['actor', 'director']",3.9/10,2017,11m,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt7603700/?ref_=nm_flmg_act_37
Friends from College,['actor'],6.9/10,2017–2019,30m,TV Series,TV-MA,"['Comedy', 'Drama']",https://www.imdb.com/title/tt5565334/?ref_=nm_flmg_act_38
Dr. Ken,['actor'],5.6/10,2015–2017,21m,TV Series,TV-PG,[],https://www.imdb.com/title/tt3216608/?ref_=nm_flmg_act_39
Neighbors 3: Zombies Rising,['actor'],6.1/10,2016,2m,Movie,Not Rated,"['Short', 'Comedy']",https://www.imdb.com/title/tt5759314/?ref_=nm_flmg_act_40
Kung Fu Panda 3,['actor'],7.1/10,2016,1h 35m,Movie,PG,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt2267968/?ref_=nm_flmg_act_43
Kung Fu Panda: Secrets of the Scroll,['actor'],7.0/10,2016,23m,Movie,TV-Y7,"['Animation', 'Short', 'Action']",https://www.imdb.com/title/tt5513770/?ref_=nm_flmg_act_44
