Title,Category,Rating,Year,Length,Type,Age,Genre,URL
As I Lay Dying,['actor'],5.3/10,2013,1h 50m,Movie,R,[],https://www.imdb.com/title/tt1807944/?ref_=nm_flmg_act_29
Good Vibes,['actor'],7.3/10,2011,,TV Series,TV-14,"['Animation', 'Comedy']",https://www.imdb.com/title/tt1701982/?ref_=nm_flmg_act_31
30 Minutes or Less,['actor'],6.1/10,2011,1h 23m,Movie,R,"['Action', 'Comedy']",https://www.imdb.com/title/tt1622547/?ref_=nm_flmg_act_32
Kenny Powers: The K-Swiss MFCEO,['actor'],7.6/10,2011,5m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt1990259/?ref_=nm_flmg_act_33
Kung Fu Panda 2,['actor'],7.2/10,2011,1h 30m,Movie,PG,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt1302011/?ref_=nm_flmg_act_34
Beastie Boys: Make Some Noise,['actor'],8.6/10,2011,5m,Music Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt6715232/?ref_=nm_flmg_act_35
Beastie Boys: Fight for Your Right Revisited,['actor'],7.9/10,2011,30m,Movie,Not Rated,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt1791504/?ref_=nm_flmg_act_37
Due Date,"['actor', 'soundtrack']",6.5/10,2010,1h 35m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1231583/?ref_=nm_flmg_act_38
Despicable Me,['actor'],7.6/10,2010,1h 35m,Movie,PG,"['Animation', 'Adventure']",https://www.imdb.com/title/tt1323594/?ref_=nm_flmg_act_39
Up in the Air,['actor'],7.4/10,2009,1h 49m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1193138/?ref_=nm_flmg_act_40
Land of the Lost,"['actor', 'soundtrack']",5.3/10,2009,1h 42m,Movie,PG-13,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0457400/?ref_=nm_flmg_act_41
Observe and Report,['actor'],5.7/10,2009,1h 26m,Movie,R,"['Comedy', 'Crime']",https://www.imdb.com/title/tt1197628/?ref_=nm_flmg_act_42
Fanboys,['actor'],6.5/10,2009,1h 30m,Movie,PG-13,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0489049/?ref_=nm_flmg_act_43
Tropic Thunder,['actor'],7.0/10,2008,1h 47m,Movie,R,"['Action', 'Comedy', 'War']",https://www.imdb.com/title/tt0942385/?ref_=nm_flmg_act_44
Pineapple Express,['actor'],6.9/10,2008,1h 51m,Movie,R,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt0910936/?ref_=nm_flmg_act_45
Drunk History,['actor'],8.0/10,2007–2011,,TV Series,TV-14,"['Short', 'Comedy']",https://www.imdb.com/title/tt1503278/?ref_=nm_flmg_act_46
Drillbit Taylor,['actor'],5.7/10,2008,1h 50m,Movie,PG-13,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt0817538/?ref_=nm_flmg_act_47
The Heartbreak Kid,['actor'],5.8/10,2007,1h 56m,Movie,R,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0408839/?ref_=nm_flmg_act_48
Superbad,['actor'],7.6/10,2007,1h 53m,Movie,R,['Comedy'],https://www.imdb.com/title/tt0829482/?ref_=nm_flmg_act_49
Hot Rod,['actor'],6.7/10,2007,1h 28m,Movie,PG-13,"['Comedy', 'Sport']",https://www.imdb.com/title/tt0787475/?ref_=nm_flmg_act_50
All the Real Girls,['actor'],6.7/10,2003,1h 48m,Movie,R,"['Drama', 'Romance']",https://www.imdb.com/title/tt0299458/?ref_=nm_flmg_act_52
Hellraiser,['producer'],,,,TV Series,,['Horror'],https://www.imdb.com/title/tt12221530/?ref_=nm_flmg_prd_1
The Exorcist,['producer'],,2023,2h 1m,Movie,,[],https://www.imdb.com/title/tt12921446/?ref_=nm_flmg_prd_2
The King of North Sudan,['producer'],9.2/10,2021,1h 35m,Movie,,[],https://www.imdb.com/title/tt15450362/?ref_=nm_flmg_prd_5
Flower,['producer'],6.0/10,2017,1h 30m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt2582784/?ref_=nm_flmg_prd_11
Dayveon,['producer'],6.3/10,2017,1h 15m,Movie,,"['Crime', 'Drama']",https://www.imdb.com/title/tt6266218/?ref_=nm_flmg_prd_12
Masterminds,['producer'],5.8/10,2016,1h 35m,Movie,PG-13,"['Biography', 'Comedy']",https://www.imdb.com/title/tt2461150/?ref_=nm_flmg_prd_13
Donald Cried,['producer'],6.6/10,2016,1h 25m,Movie,Not Rated,['Comedy'],https://www.imdb.com/title/tt4442604/?ref_=nm_flmg_prd_14
Hot Sugar's Cold World,['producer'],6.4/10,2015,1h 27m,Movie,Not Rated,"['Documentary', 'Music']",https://www.imdb.com/title/tt4423066/?ref_=nm_flmg_prd_15
The D Train,['producer'],5.1/10,2015,1h 41m,Movie,R,['Comedy'],https://www.imdb.com/title/tt2690138/?ref_=nm_flmg_prd_16
Manglehorn,['producer'],5.5/10,2014,1h 37m,Movie,PG-13,['Drama'],https://www.imdb.com/title/tt2893490/?ref_=nm_flmg_prd_17
Joe,['producer'],6.8/10,2013,1h 57m,Movie,R,['Crime'],https://www.imdb.com/title/tt2382396/?ref_=nm_flmg_prd_20
Prince Avalanche,['producer'],6.3/10,2013,1h 34m,Movie,R,['Comedy'],https://www.imdb.com/title/tt2195548/?ref_=nm_flmg_prd_21
The Comedy,['producer'],6.3/10,2012,1h 35m,Movie,Not Rated,"['Comedy', 'Drama']",https://www.imdb.com/title/tt2112293/?ref_=nm_flmg_prd_22
Black Jack,['producer'],5.2/10,2011,,TV Movie,,[],https://www.imdb.com/title/tt1874433/?ref_=nm_flmg_prd_23
The Catechism Cataclysm,['producer'],5.6/10,2011,1h 15m,Movie,Not Rated,['Comedy'],https://www.imdb.com/title/tt1772371/?ref_=nm_flmg_prd_25
49th Annie Awards,['soundtrack'],,2022,1h 49m,TV Special,,[],https://www.imdb.com/title/tt18671534/?ref_=nm_flmg_sdtk_1
George Washington,['second unit director or assistant director'],7.2/10,2000,1h 29m,Movie,Not Rated,[],https://www.imdb.com/title/tt0262432/?ref_=nm_flmg_asst_1
How to Live Forever,['thanks'],3.0/10,2017,,Movie,,['Short'],https://www.imdb.com/title/tt8089222/?ref_=nm_flmg_tk_1
Tropic Thunder: Rain of Madness,['thanks'],7.3/10,2008,30m,Video,Not Rated,"['Short', 'Comedy']",https://www.imdb.com/title/tt1286750/?ref_=nm_flmg_tk_2
Jimmy Kimmel Live!,['self'],6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0320037/?ref_=nm_flmg_slf_1
Hollywood on Set,['self'],7.0/10,2003–,26m,TV Series,,['News'],https://www.imdb.com/title/tt0439073/?ref_=nm_flmg_slf_2
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt8638066/?ref_=nm_flmg_slf_3
Busy Philipps Is Doing Her Best,['self'],,2020–,,Podcast Series,,[],https://www.imdb.com/title/tt21822234/?ref_=nm_flmg_slf_4
Sunday Brunch,['self'],5.2/10,2012–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt2326935/?ref_=nm_flmg_slf_5
Armchair Expert with Dax Shepard,['self'],8.8/10,2018–,,Podcast Series,,[],https://www.imdb.com/title/tt11857594/?ref_=nm_flmg_slf_6
Late Night with Seth Meyers,['self'],6.2/10,2014–,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt3513388/?ref_=nm_flmg_slf_7
CTV News at 11:30 Toronto,['self'],5.8/10,2016–,,TV Series,,['News'],https://www.imdb.com/title/tt4367274/?ref_=nm_flmg_slf_8
CTV News at Six Toronto,['self'],,2018–,,TV Series,,[],https://www.imdb.com/title/tt4367268/?ref_=nm_flmg_slf_9
Celebrity Page,['self'],2.3/10,2013–,30m,TV Series,,['News'],https://www.imdb.com/title/tt3503424/?ref_=nm_flmg_slf_10
Off Camera with Sam Jones,['self'],8.4/10,2014–,58m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3473134/?ref_=nm_flmg_slf_11
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,[],https://www.imdb.com/title/tt0911896/?ref_=nm_flmg_slf_12
Chelsea,['self'],6.2/10,2016–2017,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt5672036/?ref_=nm_flmg_slf_13
Dish Nation,['self'],3.7/10,2011–,30m,TV Series,TV-PG,[],https://www.imdb.com/title/tt1973047/?ref_=nm_flmg_slf_14
WGN Morning News,['self'],6.6/10,1994–,,TV Series,,['News'],https://www.imdb.com/title/tt5139360/?ref_=nm_flmg_slf_15
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,['News'],https://www.imdb.com/title/tt0072506/?ref_=nm_flmg_slf_16
The Late Show with Stephen Colbert,['self'],7.1/10,2015–,41m,TV Series,TV-PG,['Comedy'],https://www.imdb.com/title/tt3697842/?ref_=nm_flmg_slf_17
Special Look,['self'],2.3/10,2012–2017,,TV Series,,[],https://www.imdb.com/title/tt3746054/?ref_=nm_flmg_slf_18
32nd Film Independent Spirit Awards,['self'],6.2/10,2017,1h 46m,TV Special,Not Rated,[],https://www.imdb.com/title/tt6576450/?ref_=nm_flmg_slf_19
Sausage Party: The Booth,['self'],,2016,,Movie,,"['Short', 'Action']",https://www.imdb.com/title/tt7471742/?ref_=nm_flmg_slf_20
Sausage Party: The Great Beyond,['self'],,2016,,Movie,,['Short'],https://www.imdb.com/title/tt7471748/?ref_=nm_flmg_slf_21
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1637574/?ref_=nm_flmg_slf_22
The Late Late Show with James Corden,['self'],5.8/10,2015–2022,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt4280606/?ref_=nm_flmg_slf_23
Anthony Anderson: Lost at Comic-Con,['self'],,2016,,TV Special,,[],https://www.imdb.com/title/tt5952014/?ref_=nm_flmg_slf_24
Smoke and Mirrors: The Story of Tom Savini,['self'],7.3/10,2015,1h 31m,Movie,Not Rated,[],https://www.imdb.com/title/tt1949591/?ref_=nm_flmg_slf_25
Buzz: at&T Original Documentaries,['self'],5.0/10,2007–2016,,TV Series,,['Documentary'],https://www.imdb.com/title/tt5575156/?ref_=nm_flmg_slf_26
Stand Up to Cancer,['self'],5.9/10,2014,1h,TV Special,,['Comedy'],https://www.imdb.com/title/tt3978892/?ref_=nm_flmg_slf_27
2014 MTV Movie Awards,['self'],5.5/10,2014,,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt3578774/?ref_=nm_flmg_slf_28
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0103569/?ref_=nm_flmg_slf_29
2013 MTV Movie Awards,['self'],5.2/10,2013,2h 20m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt2806252/?ref_=nm_flmg_slf_30
Saturday Night Live,['self'],8.0/10,1975–,1h 30m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0072562/?ref_=nm_flmg_slf_31
WTF with Marc Maron,['self'],8.0/10,2009–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt12058860/?ref_=nm_flmg_slf_32
Attack of the Show!,"['self', 'archive footage']",7.8/10,2005–2022,1h,TV Series,TV-14,['News'],https://www.imdb.com/title/tt0498878/?ref_=nm_flmg_slf_33
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,[],https://www.imdb.com/title/tt1434322/?ref_=nm_flmg_slf_34
Late Night with Jimmy Fallon,['self'],6.8/10,2009–2014,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1231460/?ref_=nm_flmg_slf_35
Inconvenient Interviews with Risa,['self'],4.8/10,2011,,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt3675186/?ref_=nm_flmg_slf_36
Guys Choice Awards 2011,['self'],4.5/10,2011,,TV Special,,[],https://www.imdb.com/title/tt2023505/?ref_=nm_flmg_slf_37
